DATASET_CODE,FLIGHT_DATE,DATE_TIME,LATITUDE,LONGITUDE,ALTITUDE,RADIATION
ALBEDO_BOX,11/20/2015,11/20/2015 12:09:18,-77.62281167,162.9007483,74.3,0.005901344
ALBEDO_BOX,11/20/2015,11/20/2015 12:09:21,-77.62281167,162.900685,74.8,0.03946523
ALBEDO_BOX,11/20/2015,11/20/2015 12:09:24,-77.62282,162.9006333,76.9,0.07616422
ALBEDO_BOX,11/20/2015,11/20/2015 12:09:27,-77.62282167,162.90057,80.1,0.0922085
ALBEDO_BOX,11/20/2015,11/20/2015 12:09:30,-77.62284,162.9005083,83.6,0.1029047
ALBEDO_BOX,11/20/2015,11/20/2015 12:09:33,-77.62284333,162.9004183,87.5,0.1076995
ALBEDO_BOX,11/20/2015,11/20/2015 12:09:36,-77.62284833,162.9003833,91.5,0.1115723
ALBEDO_BOX,11/20/2015,11/20/2015 12:09:39,-77.62284333,162.9002967,94.8,0.1132314
ALBEDO_BOX,11/20/2015,11/20/2015 12:09:42,-77.62285833,162.90017,97.5,0.1134159
ALBEDO_BOX,11/20/2015,11/20/2015 12:09:45,-77.62290833,162.90003,100,0.1148912
ALBEDO_BOX,11/20/2015,11/20/2015 12:09:48,-77.62295333,162.8998633,102,0.1136003
ALBEDO_BOX,11/20/2015,11/20/2015 12:09:51,-77.623035,162.8997267,103.7,0.1139691
ALBEDO_BOX,11/20/2015,11/20/2015 12:09:54,-77.62311833,162.8996883,105.5,0.1117561
ALBEDO_BOX,11/20/2015,11/20/2015 12:09:57,-77.62328333,162.8998517,107.7,0.1136003
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:00,-77.62348333,162.9003367,111.8,0.1189483
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:03,-77.62374667,162.9011733,117.7,0.1359146
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:06,-77.62407667,162.9024033,124.6,0.1552783
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:09,-77.62447167,162.9040967,132.6,0.1550939
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:12,-77.624875,162.906345,141.1,0.149377
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:15,-77.62513333,162.9092183,153,0.149377
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:18,-77.62518333,162.9124017,165.4,0.1488237
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:21,-77.62495833,162.9155167,176.5,0.1578601
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:24,-77.62448333,162.9183033,185.8,0.1748264
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:27,-77.62385,162.9204333,194.6,0.1805433
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:30,-77.62311167,162.9219917,205.7,0.1916083
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:33,-77.62233333,162.9232367,217.7,0.2017511
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:36,-77.62152667,162.9245217,227.9,0.2157667
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:39,-77.62074,162.9257483,237.3,0.2297824
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:42,-77.61997667,162.9270583,244.8,0.2397408
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:45,-77.61924333,162.92841,250.9,0.2419527
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:48,-77.61853333,162.9299217,256.3,0.2417683
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:51,-77.61784667,162.9314867,261.2,0.2386332
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:54,-77.61717833,162.9332583,265.9,0.2373423
ALBEDO_BOX,11/20/2015,11/20/2015 12:10:57,-77.616525,162.9351033,271.1,0.2377111
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:00,-77.615865,162.9368233,276.3,0.2338384
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:03,-77.61525,162.9384233,282.9,0.2307033
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:06,-77.61464667,162.9398733,289.8,0.2284904
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:09,-77.614035,162.9412217,295.7,0.2277527
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:12,-77.613425,162.9425417,300.6,0.2268306
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:15,-77.61280667,162.94386,305.8,0.2253553
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:18,-77.61219,162.9451667,312.4,0.2253553
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:21,-77.611575,162.946665,318.5,0.2279371
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:24,-77.61097833,162.9484333,325,0.2327319
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:27,-77.61040167,162.9504433,330.6,0.2415839
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:30,-77.60985667,162.9526533,335.7,0.2567059
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:33,-77.60934,162.9550583,340.5,0.2762539
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:36,-77.60885,162.9577833,343.7,0.2862123
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:39,-77.60840667,162.9608883,344.7,0.2880565
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:42,-77.608015,162.9643467,343,0.2954331
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:45,-77.60772,162.9681083,338.5,0.3076045
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:48,-77.60755167,162.9722033,331.5,0.3382174
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:51,-77.60752167,162.9762667,326.2,0.350942
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:54,-77.60758,162.9802133,321.6,0.3343447
ALBEDO_BOX,11/20/2015,11/20/2015 12:11:57,-77.60769833,162.9840517,317.2,0.3173772
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:00,-77.60785667,162.9878567,313.1,0.3059435
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:03,-77.60806167,162.991685,307.7,0.2832605
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:06,-77.60834667,162.9955417,301.1,0.2583646
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:09,-77.60869333,162.9994167,294.2,0.2222193
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:12,-77.60907,163.0032583,288.1,0.1893936
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:15,-77.60950333,163.0071683,280.9,0.176669
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:18,-77.60994333,163.0111367,275.3,0.1657885
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:21,-77.610395,163.0148983,272.1,0.1552769
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:24,-77.61081,163.0184517,269.4,0.1458718
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:27,-77.61121833,163.021895,265.8,0.1414458
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:30,-77.61160833,163.02528,260.1,0.1333316
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:33,-77.61203833,163.02852,253.3,0.1333316
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:36,-77.612485,163.031675,245.1,0.1276148
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:39,-77.61298167,163.0346567,235.3,0.1266927
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:42,-77.61351333,163.0374867,225.1,0.1231888
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:45,-77.614095,163.04009,214.1,0.1252174
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:48,-77.61470167,163.0424783,202.3,0.120607
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:51,-77.615355,163.044615,190.2,0.1257706
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:54,-77.61600833,163.0467883,178.7,0.1222667
ALBEDO_BOX,11/20/2015,11/20/2015 12:12:57,-77.61667667,163.04902,165.6,0.1235576
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:00,-77.61728,163.0516283,153.3,0.1285368
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:03,-77.6177,163.05483,143.4,0.1396032
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:06,-77.61781667,163.0584117,132,0.1473487
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:09,-77.61771333,163.0621617,123.6,0.1582292
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:12,-77.617495,163.06591,116.2,0.1668968
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:15,-77.61718667,163.0695183,106.9,0.1698475
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:18,-77.616815,163.0729067,99.3,0.1702163
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:21,-77.61642167,163.0761383,92.8,0.1755644
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:24,-77.61602333,163.0793483,88.4,0.1868138
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:27,-77.61561,163.082525,85.3,0.1901333
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:30,-77.615215,163.085775,82.9,0.1864449
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:33,-77.61480167,163.0887767,82.5,0.1840475
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:36,-77.614395,163.0918433,81.7,0.1796215
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:39,-77.61396333,163.0948267,80.8,0.1726137
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:42,-77.61355,163.0978867,78.7,0.1735358
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:45,-77.61311667,163.100905,77.3,0.1833099
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:48,-77.61269,163.1040167,76.3,0.1993541
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:51,-77.61227,163.1070133,76.3,0.2128165
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:54,-77.61186333,163.11,76.3,0.2231438
ALBEDO_BOX,11/20/2015,11/20/2015 12:13:57,-77.61145333,163.11296,75.5,0.2283075
ALBEDO_BOX,11/20/2015,11/20/2015 12:14:00,-77.611025,163.1159317,74.8,0.2305205
ALBEDO_BOX,11/20/2015,11/20/2015 12:14:03,-77.61062,163.1189267,75.7,0.2336555
ALBEDO_BOX,11/20/2015,11/20/2015 12:14:06,-77.61021167,163.1218667,76.1,0.2399257
ALBEDO_BOX,11/20/2015,11/20/2015 12:14:09,-77.60980333,163.1248117,77.1,0.2439848
ALBEDO_BOX,11/20/2015,11/20/2015 12:14:12,-77.60939333,163.12772,78.5,0.2450913
ALBEDO_BOX,11/20/2015,11/20/2015 12:14:15,-77.60897833,163.1307367,78.4,0.2456446
ALBEDO_BOX,11/20/2015,11/20/2015 12:14:18,-77.60856,163.1337983,77.5,0.2469355
ALBEDO_BOX,11/20/2015,11/20/2015 12:14:21,-77.60813833,163.1368283,77.9,0.2493329
ALBEDO_BOX,11/20/2015,11/20/2015 12:14:24,-77.60774,163.13974,79.3,0.2497018
ALBEDO_BOX,11/20/2015,11/20/2015 12:14:27,-77.60734667,163.1427417,79.8,0.2509927
ALBEDO_BOX,11/20/2015,11/20/2015 12:14:30,-77.60694833,163.145675,80.2,0.2509927
ALBEDO_BOX,11/20/2015,11/20/2015 12:14:33,-77.606565,163.148625,80.7,0.2509927
ALBEDO_BOX,11/20/2015,11/20/2015 12:14:36,-77.60618833,163.15151,80.6,0.2533901
ALBEDO_BOX,11/20/2015,11/20/2015 12:14:39,-77.605815,163.1543933,80,0.2561564
