system:index,Change in Sediment Cover?,Cloud Free (Y/N/P),Coverage of lakes,Date (YYYYMMDD),File ID,Notes,Snow Cover (Y/N/P),temp,.geo
0000000000000000003d,NA,Y,LF,2019-01-26,LANDSAT_8_2019-01-26,Covers 90% of LF.,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,NA,Y,All,2023-01-01,LANDSAT_8_2023-01-01,Hazy cloud cover near fryxell,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,NA,Y,All,2021-01-18,LANDSAT_8_2021-01-18,Hazy cloud cover.,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,NA,Y,All,2016-12-10,LANDSAT_8_2016-12-10,Maybe a light dusting of snow. LB clear.,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,Heavy sediment cover,Y,All,2021-10-31,LANDSAT_8_2021-10-31,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,LH,Y,All,2017-11-25,LANDSAT_8_2017-11-25,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000,N,Y,All,2016-11-02,LANDSAT_8_2016-11-02,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,N,Y,All,2016-11-04,LANDSAT_8_2016-11-04,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,N,Y,All,2016-11-06,LANDSAT_8_2016-11-06,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,N,Y,All,2016-11-13,LANDSAT_8_2016-11-13,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,NA,Y,All,2016-11-08,LANDSAT_8_2016-11-08,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,NA,Y,All,2016-11-15,LANDSAT_8_2016-11-15,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,NA,Y,All,2016-12-13,LANDSAT_8_2016-12-13,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,NA,Y,All,2016-12-15,LANDSAT_8_2016-12-15,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,NA,Y,All,2016-12-24,LANDSAT_8_2016-12-24,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,NA,Y,All,2017-01-02,LANDSAT_8_2017-01-02,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,NA,Y,All,2017-01-11,LANDSAT_8_2017-01-11,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,NA,Y,All,2017-01-14,LANDSAT_8_2017-01-14,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,NA,Y,All,2017-01-18,LANDSAT_8_2017-01-18,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,NA,Y,All,2017-01-25,LANDSAT_8_2017-01-25,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,NA,Y,All,2017-01-30,LANDSAT_8_2017-01-30,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,NA,Y,All,2017-11-07,LANDSAT_8_2017-11-07,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,NA,Y,All,2017-11-18,LANDSAT_8_2017-11-18,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,NA,Y,All,2017-11-27,LANDSAT_8_2017-11-27,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,NA,Y,All,2017-11-30,LANDSAT_8_2017-11-30,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,NA,Y,All,2017-12-02,LANDSAT_8_2017-12-02,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,NA,Y,All,2017-12-07,LANDSAT_8_2017-12-07,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,NA,Y,All,2017-12-16,LANDSAT_8_2017-12-16,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
