system:index,brightest_band_means,brightest_geometry,date,dimmest_band_means,dimmest_geometry,image_id,.geo
0,"[0.37536622272646886, 0.3351688013613526, 0.3229868077347838, 0.2006676096054802, 0.05327991635863322, 0.04907232935737376, 0.3331516720463862]","[162.4587738117529, -77.71408792515665]",2016-11-02T00:00:00,"[0.5177062772285975, 0.46494272128622205, 0.4376746880302052, 0.2507464231539561, 0.028838930355848124, 0.025803232197764082, 0.4560574530728218]","[162.40420438480157, -77.71725589768484]",0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[0.3916435082075151, 0.34614640347128955, 0.3334159252006998, 0.20390778101899207, 0.048455550075253026, 0.043905167723415905, 0.3441809837374252]","[162.4587738117529, -77.71408792515665]",2016-11-04T00:00:00,"[0.5323072911231215, 0.47342022200658707, 0.4469468107202519, 0.25387058149438785, 0.02616713506496624, 0.023195656883682397, 0.4636260679542317]","[162.40420438480157, -77.71725589768484]",1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[0.37561355767710497, 0.3335123101165373, 0.3181120181725992, 0.1893391183898684, 0.04448744150961232, 0.03987973999101883, 0.3290979676117545]","[162.4587738117529, -77.71408792515665]",2016-11-06T00:00:00,"[0.5178673214407332, 0.46043707004956014, 0.431177307576291, 0.2388612555266381, 0.023853543267675782, 0.021130394676089945, 0.448422887138903]","[162.40420438480157, -77.71725589768484]",2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[0.3631617623302072, 0.32091649199015426, 0.3035023819608478, 0.17740386868356295, 0.02452754717996897, 0.021650171682445266, 0.3141754068002984]","[162.4587738117529, -77.71408792515665]",2016-11-08T00:00:00,"[0.49963846252465827, 0.44051386428680855, 0.4071815396751513, 0.22066198556565678, 0.01709896552584183, 0.01490732362412369, 0.42694866738362647]","[162.40420438480157, -77.71725589768484]",3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[0.38517680830973317, 0.34149544324579806, 0.31839269673102516, 0.17730897851834845, 0.02630920470392873, 0.023395594387300565, 0.33362567023329187]","[162.4587738117529, -77.71408792515665]",2016-11-15T00:00:00,"[0.5206262077599477, 0.46226008816869696, 0.42736036511756315, 0.23491694314629952, 0.021601849647085784, 0.01875204726031871, 0.4481568472378409]","[162.40420438480157, -77.71725589768484]",4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[0.42588416107593147, 0.3968053526657682, 0.3870525974119527, 0.24826784081365558, 0.016989195057573275, 0.01442644100787283, 0.39475589213163964]","[162.4587738117529, -77.71408792515665]",2016-12-10T00:00:00,"[0.5305883134919016, 0.48339164735731466, 0.44987798893273573, 0.2752404647741144, 0.017292467762965596, 0.014845839629035238, 0.4718175781542871]","[162.40420438480157, -77.71725589768484]",5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[0.49411504154651764, 0.47457686647729086, 0.4870817195211739, 0.38438061441730337, 0.010880144600646915, 0.009504088170570068, 0.47754299299626]","[162.4587738117529, -77.71408792515665]",2016-12-13T00:00:00,"[0.5758369423313863, 0.5437841779903262, 0.5390152330077953, 0.39751480853735705, 0.014235052781819644, 0.012117609064608589, 0.5413108868971704]","[162.40420438480157, -77.71725589768484]",6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[0.5093897408598358, 0.4891650814728981, 0.504132347731439, 0.4012183705769593, 0.010535511479852882, 0.009218370895181922, 0.49172432587508624]","[162.4587738117529, -77.71408792515665]",2016-12-15T00:00:00,"[0.605728812778136, 0.571700093713107, 0.5740726628800976, 0.44298698233088657, 0.011459488884854976, 0.010107313163266412, 0.5713053984823959]","[162.40420438480157, -77.71725589768484]",7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[0.49758215270445616, 0.4812171518341577, 0.49398753543827306, 0.3815329666692882, 0.012181460910801429, 0.010951956757661042, 0.48453420597764774]","[162.4587738117529, -77.71408792515665]",2016-12-17T00:00:00,"[0.4734263428931176, 0.4227216787230751, 0.4003248622714519, 0.2842437926612262, 0.010617985359811509, 0.008700108418257047, 0.40156247571762754]","[162.40420438480157, -77.71725589768484]",8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[0.5182523403796684, 0.4995758106276715, 0.517061903560025, 0.41648321449518144, 0.010936295396776782, 0.009824563109455795, 0.504948301271109]","[162.4587738117529, -77.71408792515665]",2016-12-24T00:00:00,"[0.6224020115689254, 0.5894382609851586, 0.5919387862165812, 0.46107787371731374, 0.01140816528633388, 0.010241102607147475, 0.5908043019258861]","[162.40420438480157, -77.71725589768484]",9,"{""type"":""MultiPoint"",""coordinates"":[]}"
