system:index,brightest_band_means,brightest_geometry,date,dimmest_band_means,dimmest_geometry,image_id,.geo
0,"[0.2655271293658055, 0.2173693639043621, 0.2167428467662878, 0.21129017627417437, 0.136292550262503, 0.13055519886561323, 0.21939039342233907]","[163.17518725654375, -77.61204069306538]",2016-11-02T00:00:00,"[0.5201863667186261, 0.4779005742489457, 0.4991504436275878, 0.4593025334126545, 0.056210842344482766, 0.05718648236711303, 0.4885210740623437]","[163.17537161413546, -77.5996182219057]",0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[0.253976349509521, 0.2081734983107238, 0.20913744123372474, 0.2045815630498343, 0.13520577191844854, 0.1287159249690512, 0.20673204715109353]","[163.17518725654375, -77.61204069306538]",2016-11-04T00:00:00,"[0.49338855253354197, 0.4498163185085962, 0.4713935917228889, 0.4308386707711031, 0.04934114626455318, 0.04936615029247608, 0.45790467379214134]","[163.17537161413546, -77.5996182219057]",1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[0.2597609913497125, 0.2112714646210619, 0.21204962251328774, 0.20777179792887265, 0.14307408230049734, 0.13600549593326933, 0.21545511698143038]","[163.17518725654375, -77.61204069306538]",2016-11-06T00:00:00,"[0.49204803227323196, 0.44896793318965855, 0.4670026679371959, 0.41628329826040805, 0.04161656128076371, 0.04135993186354991, 0.4550504302802935]","[163.17537161413546, -77.5996182219057]",2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[0.2473967051891902, 0.2010776620167465, 0.2017760598515573, 0.19793040722231567, 0.1431264738589253, 0.13532111996161486, 0.2044654302306582]","[163.17518725654375, -77.61204069306538]",2016-11-08T00:00:00,"[0.4569796090367338, 0.413851228610268, 0.4291079691028878, 0.3772325785902978, 0.036067218101624256, 0.0350376403583549, 0.4196283330438781]","[163.17537161413546, -77.5996182219057]",3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[0.24361517636917726, 0.19945116988850373, 0.19973561387257865, 0.19535930593330025, 0.15265928971374707, 0.143148468757066, 0.19991498081305745]","[163.17518725654375, -77.61204069306538]",2016-11-13T00:00:00,"[0.4496557714669142, 0.41046699881150933, 0.4204621363125914, 0.3514086519106926, 0.03618821895679875, 0.0344361885993239, 0.414409818043057]","[163.17537161413546, -77.5996182219057]",4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[0.23797921210412504, 0.1959673044398585, 0.19599888776802268, 0.19115981273038102, 0.15027361125638966, 0.14142869205353245, 0.19595825349894283]","[163.17518725654375, -77.61204069306538]",2016-11-15T00:00:00,"[0.438309254585734, 0.4000405775587361, 0.4083933936777199, 0.339961752650883, 0.038841082830087484, 0.037380824768225504, 0.4022594586766804]","[163.17537161413546, -77.5996182219057]",5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[0.4721622922230514, 0.41173139825561067, 0.42038579725536945, 0.41725320414012085, 0.12109804165991891, 0.11792878850791527, 0.4144906516424465]","[163.17518725654375, -77.61204069306538]",2016-12-08T00:00:00,"[0.7947844513468899, 0.7382444846381223, 0.7826629805086462, 0.7957852015011408, 0.07962079353227333, 0.08464399865592429, 0.7527025854995902]","[163.17537161413546, -77.5996182219057]",6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[0.4208498509449686, 0.37056520029671614, 0.37601398919711354, 0.3663891449087827, 0.11528815011405848, 0.1123732050909391, 0.37122975725778606]","[163.17518725654375, -77.61204069306538]",2016-12-10T00:00:00,"[0.7514875939219202, 0.7030133824639685, 0.7427304073222851, 0.7432627372343502, 0.06021581371430287, 0.0645983071841587, 0.7160772852829667]","[163.17537161413546, -77.5996182219057]",7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[0.35498692818514693, 0.31138028805104123, 0.31388256435609424, 0.2989787448204911, 0.11982062644664322, 0.11447201401795601, 0.31087004588537004]","[163.17518725654375, -77.61204069306538]",2016-12-13T00:00:00,"[0.6709808774851727, 0.6336159712196597, 0.6650961784484957, 0.640714058682094, 0.046509962992560286, 0.04782301851453052, 0.6413550380073475]","[163.17537161413546, -77.5996182219057]",8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[0.33101720205301954, 0.2872132749859247, 0.2891863727754243, 0.2754610346468053, 0.12926463724424522, 0.12332301419539535, 0.2849220365279825]","[163.17518725654375, -77.61204069306538]",2016-12-15T00:00:00,"[0.6310674406114392, 0.5890594842699554, 0.6107621025849044, 0.5710100307954934, 0.036858621533059285, 0.03778946349551714, 0.593991055898381]","[163.17537161413546, -77.5996182219057]",9,"{""type"":""MultiPoint"",""coordinates"":[]}"
