system:index,brightest_band_means,brightest_geometry,date,dimmest_band_means,dimmest_geometry,image_id,.geo
0,"[0.2732388013639286, 0.22348485170861404, 0.22224443380760356, 0.2132604427298157, 0.13119586143646803, 0.12604356552718743, 0.22098158110091812]","[163.17518725654375, -77.61204069306538]",2016-11-02T00:00:00,"[0.5126564219713647, 0.466553205399213, 0.4799140637840029, 0.427112283621308, 0.05286415837062314, 0.05365041503961403, 0.4743895330133464]","[163.17537161413546, -77.5996182219057]",0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[0.2614276987614513, 0.21476605688864103, 0.2143449230741028, 0.20620947745185916, 0.12979317110852784, 0.12311876257134323, 0.21130826530561683]","[163.17518725654375, -77.61204069306538]",2016-11-04T00:00:00,"[0.48490632668285866, 0.43808993372641714, 0.451460138330301, 0.3982310333947571, 0.04629862711259371, 0.04624769354982809, 0.4433080867151102]","[163.17537161413546, -77.5996182219057]",1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[0.26688162383765657, 0.21861112746386982, 0.2175862735729894, 0.20824321340202334, 0.1372335643280806, 0.1304018079006538, 0.21601162638315793]","[163.17518725654375, -77.61204069306538]",2016-11-06T00:00:00,"[0.4844113940273524, 0.4373917712705123, 0.4467134259770452, 0.38439507746834134, 0.03934732483400185, 0.038893317186826454, 0.4408818856193131]","[163.17537161413546, -77.5996182219057]",2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[0.25093883141159934, 0.2043655958146131, 0.20302733871405523, 0.19583843348323132, 0.13762807512834635, 0.1296296387996621, 0.20085303874596602]","[163.17518725654375, -77.61204069306538]",2016-11-08T00:00:00,"[0.45347346599054045, 0.40699476170076676, 0.41500546320059795, 0.35359430884546333, 0.03461477958086923, 0.033478811858529134, 0.41032094229390814]","[163.17537161413546, -77.5996182219057]",3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[0.24069319617145532, 0.19723298627582314, 0.19574207086795234, 0.18674949012246797, 0.14477597316400895, 0.13598078001355177, 0.19155949223646057]","[163.17518725654375, -77.61204069306538]",2016-11-15T00:00:00,"[0.43771558681853745, 0.396444318797525, 0.39970570153370255, 0.32552174565143444, 0.038170485522059074, 0.0366216308387127, 0.3965914959027863]","[163.17537161413546, -77.5996182219057]",4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[0.4411369046917447, 0.3886265148126991, 0.3943755276265794, 0.3849132956651011, 0.1100432557391852, 0.10721918013874383, 0.3931780798888082]","[163.17518725654375, -77.61204069306538]",2016-12-10T00:00:00,"[0.7551459180169815, 0.7062106291068264, 0.7460664926541607, 0.7469160231372249, 0.06026546434954916, 0.06472957487786993, 0.7193158571083368]","[163.17537161413546, -77.5996182219057]",5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[0.3726011513140747, 0.3277889521482398, 0.3313132645788773, 0.314745749017658, 0.11469823579917099, 0.10905429129515222, 0.3283962212693549]","[163.17518725654375, -77.61204069306538]",2016-12-13T00:00:00,"[0.6807286348360246, 0.6426505021047613, 0.6752466160354911, 0.6525935461491538, 0.047208489731917165, 0.04876375141285636, 0.6505671797851093]","[163.17537161413546, -77.5996182219057]",6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[0.34881674569965426, 0.3034688062056805, 0.30593777841285297, 0.29140133504152027, 0.12348676288009554, 0.1176935096399023, 0.3029703002941635]","[163.17518725654375, -77.61204069306538]",2016-12-15T00:00:00,"[0.645785604418265, 0.6035621953118824, 0.6275517322768109, 0.5914683490682393, 0.03807273016819026, 0.039263897666041235, 0.6099384672619598]","[163.17537161413546, -77.5996182219057]",7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[0.38483320738256094, 0.3446462809695512, 0.354091861396943, 0.34553472801877677, 0.14486599913674958, 0.13822232391138212, 0.34769646355278533]","[163.17518725654375, -77.61204069306538]",2016-12-17T00:00:00,"[0.6317765911234966, 0.5957109442697313, 0.620029362767018, 0.5844513042254242, 0.05562276748743009, 0.055256209571509486, 0.6009994273757093]","[163.17537161413546, -77.5996182219057]",8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[0.25649647476766874, 0.2152733267581821, 0.21000175873456434, 0.19363442193543762, 0.13606378688746934, 0.1266277377094829, 0.21081540135840685]","[163.17518725654375, -77.61204069306538]",2016-12-24T00:00:00,"[0.46397906884542506, 0.420088380563529, 0.40921603472624357, 0.3394243621028169, 0.016727993326942265, 0.01580261563921385, 0.4154333790879433]","[163.17537161413546, -77.5996182219057]",9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[0.22359920532890032, 0.18645846784548423, 0.18127920647293777, 0.16811263358024647, 0.14314425528973532, 0.13449567357082048, 0.17995292296222762]","[163.17518725654375, -77.61204069306538]",2017-01-02T00:00:00,"[0.5328278701694281, 0.5006353946181021, 0.5080893742006798, 0.4054849119117284, 0.011430365070137139, 0.010462025168275903, 0.5030389669609869]","[163.17537161413546, -77.5996182219057]",10,"{""type"":""MultiPoint"",""coordinates"":[]}"
